addrtype,location,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,seriousinjuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,speeding,st_colcode,st_coldesc,crosswalkkey,hitparkedcar,state,latitude,longitude
Intersection,2ND AVE AND UNIVERSITY ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-01-23T00:00:00.000Z,1/23/2019 10:29:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Overcast,Wet,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.60729905819726,-122.33708679815666
Intersection,4TH AVE S AND S SPOKANE SR ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2019-01-22T00:00:00.000Z,1/22/2019 7:49:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,521756,N,Washington,47.571420865588465,-122.32907749711175
Intersection,FAIRVIEW NR AVE N AND YALE AVE N,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-01-18T00:00:00.000Z,1/18/2019 11:26:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.628924300094155,-122.33100164147018
Block,DEXTER AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-01-23T00:00:00.000Z,1/23/2004 8:45:00 AM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Unknown,Unknown,Daylight,,,45,Vehicle - Pedalcyclist,0,N,Washington,47.62263838004219,-122.34236643866664
Block,DEXTER AVE N BETWEEN GARFIELD N ST AND HAYES ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-02T00:00:00.000Z,4/2/2013 8:59:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,45,Vehicle - Pedalcyclist,0,N,Washington,47.6336931487632,-122.3422833515234
Block,10TH AVE E BETWEEN E LYNN ST AND E MILLER ST,2b,Serious Injury Collision,Cycles,3,0,1,1,1,1,0,2004-06-12T00:00:00.000Z,6/12/2004 12:31:00 PM,Mid-Block (not related to intersection),55.0,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,,0,Clear or Partly Cloudy,Dry,Daylight,,,45,Vehicle - Pedalcyclist,0,N,Washington,47.64044969209657,-122.32006083970396
Intersection,10TH AVE S AND S CLOVERDALE ST,2,Injury Collision,Cycles,5,0,1,1,1,0,0,2013-04-02T00:00:00.000Z,4/2/2013 7:15:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Overcast,Dry,Dusk,,,45,Vehicle - Pedalcyclist,0,N,Washington,47.52645748029189,-122.32028400573279
Intersection,BELLEVUE AVE AND E OLIVE ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-03-30T00:00:00.000Z,3/30/2013 8:30:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dusk,Y,,45,Vehicle - Pedalcyclist,0,N,Washington,47.616341840491636,-122.32678751884164
Block,E MADISON ST BETWEEN LAKE WASHINGTON BLVD E AND 32ND AVE E,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-10-12T00:00:00.000Z,10/12/2004 5:30:00 PM,Driveway Junction,23.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,,45,Vehicle - Pedalcyclist,0,N,Washington,47.626528045372716,-122.29168646899036
Intersection,BOREN AVE AND JEFFERSON ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-02T00:00:00.000Z,4/2/2013 6:42:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,45,Vehicle - Pedalcyclist,0,N,Washington,47.605769767599405,-122.3218771543034
Block,AURORA AVE N BETWEEN N 117TH PL AND N 125TH ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-03-14T00:00:00.000Z,3/14/2013 5:30:00 PM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,45,Vehicle - Pedalcyclist,0,N,Washington,47.71717310092632,-122.34489607877191
Intersection,BROOKLYN AVE NE AND NE 50TH ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-08-09T00:00:00.000Z,8/9/2004,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,,45,Vehicle - Pedalcyclist,0,N,Washington,47.66490847462878,-122.3142100907226
Block,21ST AVE W BETWEEN ELLIOTT BAY TRL AND THORNDYKE AVE W,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2006-08-09T00:00:00.000Z,8/9/2006,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,,45,Vehicle - Pedalcyclist,0,N,Washington,47.643384196152184,-122.38331494201151
